url,label
http://kienthuc.net.vn/tin-tuc/cac-truong-da-an-phan-voi-lenh-cam-thi-tuyen-vao-lop-6-487153.html,0
http://censor.net.ua/jokes/all/page/1/hero/0/category/0/interval/5/author/2234524d6c9398b937ccdcec3101dab9/sortby/date,0
http://serverfault.com/questions/691730/iptables-log-rule-inside-a-network-namespace,0
http://icicibank.com/Personal-Banking/offers/offer-detail.page?id=offer-provogue-and-raymond-voucher-offer-20142711173337016,0
http://www.paypalservicegifts.com/blockchain/c5a5e9167f64a9b04cfab0ce5/verify.html,1
http://nesn.com/2015/05/assessing-boston-bruins-goaltending-depth-entering-2015-offseason/,0
http://olx.in/hi/item/3-bhk-new-double-storied-house-for-rent-in-thachottukavu-8500-IDWjzdj.html,0
http://noticias.uol.com.br/saude/ultimas-noticias/redacao/2015/03/07/acafrao-pode-ser-aliado-no-combate-a-dengue-afirmam-pesquisadores-de-sp.htm,0
http://kakaku.com/camera/battery-grip/ranking_1081/pricedown/div-gpt-ad-k/header_text,0
"https://secure.runescape.com-en.ru/m=weblogin/loginform964,194,936,71795128,2167",1
http://mic.com/articles/116474/there-should-be-a-movie-about-this-single-mom-who-s-the-kenyan-erin-brockovich,0
http://orgogenlabs.com/wp-includes/fonts/SG/societe/Identif/5a9018266c4039cca68c6c2ef31e7677d7f6704cfe8d2fd99f135bb6909e07cba081eb7494a1acac938e038de0ee8fa5,1
http://sourceforge.net/directory/business-enterprise/add_facet_filter?facet=natlanguage&constraint=Spanish,0
http://olx.ro/i2/anunturi-agricole/animale-domestice-pasari/porci/anunturi-agricole/animale-domestice-pasari/porci,0
http://arstechnica.com/gadgets/2015/05/mediatek-escalates-the-multicore-madness-with-a-10-core-smartphone-soc/,0
http://olx.ro/i2/moda-frumusete/haine-barbati/costume-sacouri/moda-frumusete/haine-barbati/costume-sacouri,0
https://apaenxaneta.org/https.connect.xfinity.com.appsuite.app.io.ox.mail.folder.default.INBOX.https.connect.xfinity.com.appsuite.app.io.ox.mail.folder.default.INBOX/,1
http://distractify.com/megan-mccormick/a-definitive-ranking-of-the-butts-in-game-of-thrones/,0
http://torcache.net/torrent/D1D0A3DA7FAFC9DFC79D2A8936D3888C5C678681.torrent?title=[kickass.to]ex.machina.recreancy.2014,0
http://hailufu.com/vendor/phpunit/phpunit/src/Util/Log/json.dir/onedrive,1
http://nymag.com/thecut/2013/09/miley-cyrus-look-book/slideshow/2013/07/02/miley_cyrus,0
http://www.merry-thought.com/media/.26-2020/,1
https://three.billing-confirm.com,1
http://abc.go.com/shows/js/%20http:/abc.go.com/shows/once-upon-a-time/episode-guide/season-04/,0
https://bcpzonasegurabeta-viabcp-com.northerncomcap.com/pagina/inicia-sesion,1
http://mail.puntopet.com.ru/,1
http://courgeon-immobilier.fr/dev/tpgcyberstore/91a99aec99b565002669f2cc6329c5b9/,1
http://twitter.com/home?status=%E3%83%8C%E3%81%91%E3%82%8B%EF%BC%81%E3%80%90OL%E3%83%BB%E3%81%8A%E5%A7%89%E3%81%95%E3%82%93%E3%83%BB%E7%97%B4%E5%A5%B3%E3%80%91+http%3A%2F%2Fero-video.net%2Ft%2FSKoyQMto6gHe63MF+%E3%83%91%E3%82%A4%E3%83%91%E3%83%B3%E3%82%BD%E3%83%BC%E3%83%97%E5%AC%A2+%23ero+%23douga+%23agesage,0
http://thenextweb.com/dd/2015/05/04/pinterest-launches-developer-platform-to-make-pins-interactive/gtm.start,0
http://pikabu.ru/story/za_chto_video_kak_amerikantsyi_probuyut_russkie_kholodets_seledku_pod_shuboy_i_salo__3333432,0
http://saipardabazar.com/resources/assets/js/components/dropbox/dropbox/main.html,1
http://golosavk.vipshop.ru,1
http://kakaku.com/bicycle/bike-light/ranking_6462/pricedown/div-gpt-ad-k/header_text,0
http://mne.edu.vn/wp-includes/Netflix/LoginID/index.php,1
http://bvbahealthypharmacy.com/,1
https://ceska-posta.site.officiel.cz.knkdigital.com/post/,1
http://askubuntu.com/questions/623274/how-do-i-install-drivers-that-actually-work-15-04-nvidia-760-gtx,0
http://buzzfil.net/article/5685/non-classe/la-reaction-de-ces-bebes-renards-qui-se-sont-retrouves-dans-la-cour-d-une-maison-avec-une-balle-3.html?href=inner_website,0
http://gawker.com/5442988/the-adam-lambert-fcc-complaints-wont-somebody-please-think-of-the-fking-children,0
https://800emailsupport.com/,1
http://l7n2.com/news/wp-includes/ID3/boa/b1043fc9fa760359c5f79a4efcb181fa/index.php,1
https://prijava-siolnet4.firebaseapp.com/,1
https://colegio-bachilleres.com.mx/,1
http://kotaku.com/with-the-successor-to-castlevania-funded-on-kickstarter-1704057084,0
https://resin3dprinterstore.com/?email=shahruly@mattel.com,1
