url,url_length,hostname_length,path_length,count_dots,count_hyphen,count_at,count_question,contains_ip,subdomain_count,domain,whois_age_days,ssl_valid_days,num_forms,num_password_inputs,num_iframes,contains_login_keyword,label
http://kienthuc.net.vn/tin-tuc/cac-truong-da-an-phan-voi-lenh-cam-thi-tuyen-vao-lop-6-487153.html,97,15,75,3,14,0,0,0,0,kienthuc.net.vn,-1,307,0,0,0,0,0
http://censor.net.ua/jokes/all/page/1/hero/0/category/0/interval/5/author/2234524d6c9398b937ccdcec3101dab9/sortby/date,118,13,98,2,0,0,0,0,0,censor.net.ua,-1,31,0,0,0,0,0
http://serverfault.com/questions/691730/iptables-log-rule-inside-a-network-namespace,84,15,62,1,6,0,0,0,0,serverfault.com,-1,60,1,0,0,0,0
http://icicibank.com/Personal-Banking/offers/offer-detail.page?id=offer-provogue-and-raymond-voucher-offer-20142711173337016,124,13,42,2,8,0,1,0,0,icicibank.com,-1,-1,1,0,1,1,0
http://www.paypalservicegifts.com/blockchain/c5a5e9167f64a9b04cfab0ce5/verify.html,82,26,49,3,0,0,0,0,1,paypalservicegifts.com,-1,-1,-1,-1,-1,-1,1
http://nesn.com/2015/05/assessing-boston-bruins-goaltending-depth-entering-2015-offseason/,90,8,75,1,7,0,0,0,0,nesn.com,-1,69,0,0,1,1,0
http://olx.in/hi/item/3-bhk-new-double-storied-house-for-rent-in-thachottukavu-8500-IDWjzdj.html,96,6,83,2,11,0,0,0,0,olx.in,-1,349,-1,-1,-1,-1,0
http://noticias.uol.com.br/saude/ultimas-noticias/redacao/2015/03/07/acafrao-pode-ser-aliado-no-combate-a-dengue-afirmam-pesquisadores-de-sp.htm,144,19,118,4,12,0,0,0,1,uol.com.br,-1,-1,-1,-1,-1,-1,0
http://kakaku.com/camera/battery-grip/ranking_1081/pricedown/div-gpt-ad-k/header_text,85,10,68,1,4,0,0,0,0,kakaku.com,-1,375,2,0,3,0,0
"https://secure.runescape.com-en.ru/m=weblogin/loginform964,194,936,71795128,2167",80,26,46,3,1,0,0,0,2,com-en.ru,-1,-1,-1,-1,-1,-1,1
http://mic.com/articles/116474/there-should-be-a-movie-about-this-single-mom-who-s-the-kenyan-erin-brockovich,109,7,95,1,14,0,0,0,0,mic.com,-1,275,3,0,0,0,0
http://orgogenlabs.com/wp-includes/fonts/SG/societe/Identif/5a9018266c4039cca68c6c2ef31e7677d7f6704cfe8d2fd99f135bb6909e07cba081eb7494a1acac938e038de0ee8fa5,156,15,134,1,1,0,0,0,0,orgogenlabs.com,-1,-1,-1,-1,-1,-1,1
http://sourceforge.net/directory/business-enterprise/add_facet_filter?facet=natlanguage&constraint=Spanish,106,15,47,1,1,0,1,0,0,sourceforge.net,-1,75,3,0,0,1,0
http://olx.ro/i2/anunturi-agricole/animale-domestice-pasari/porci/anunturi-agricole/animale-domestice-pasari/porci,114,6,101,1,6,0,0,0,0,olx.ro,-1,339,0,0,0,0,0
http://arstechnica.com/gadgets/2015/05/mediatek-escalates-the-multicore-madness-with-a-10-core-smartphone-soc/,110,15,88,1,10,0,0,0,0,arstechnica.com,-1,285,0,0,1,0,0
http://olx.ro/i2/moda-frumusete/haine-barbati/costume-sacouri/moda-frumusete/haine-barbati/costume-sacouri,106,6,93,1,6,0,0,0,0,olx.ro,-1,339,0,0,0,0,0
https://apaenxaneta.org/https.connect.xfinity.com.appsuite.app.io.ox.mail.folder.default.INBOX.https.connect.xfinity.com.appsuite.app.io.ox.mail.folder.default.INBOX/,166,15,143,24,0,0,0,0,0,apaenxaneta.org,-1,-1,-1,-1,-1,-1,1
http://distractify.com/megan-mccormick/a-definitive-ranking-of-the-butts-in-game-of-thrones/,92,15,70,1,10,0,0,0,0,distractify.com,-1,65,0,0,0,0,0
http://torcache.net/torrent/D1D0A3DA7FAFC9DFC79D2A8936D3888C5C678681.torrent?title=[kickass.to]ex.machina.recreancy.2014,120,12,57,6,0,0,1,0,0,torcache.net,-1,25,0,0,1,0,0
http://hailufu.com/vendor/phpunit/phpunit/src/Util/Log/json.dir/onedrive,72,11,54,2,0,0,0,0,0,hailufu.com,-1,-1,-1,-1,-1,-1,1
http://nymag.com/thecut/2013/09/miley-cyrus-look-book/slideshow/2013/07/02/miley_cyrus,86,9,70,1,3,0,0,0,0,nymag.com,-1,32,9,4,1,1,0
http://www.merry-thought.com/media/.26-2020/,44,21,16,3,2,0,0,0,1,merry-thought.com,-1,-1,-1,-1,-1,-1,1
https://three.billing-confirm.com,33,25,0,2,1,0,0,0,1,billing-confirm.com,-1,-1,-1,-1,-1,-1,1
http://abc.go.com/shows/js/%20http:/abc.go.com/shows/once-upon-a-time/episode-guide/season-04/,94,10,77,4,5,0,0,0,1,go.com,-1,220,1,0,0,0,0
https://bcpzonasegurabeta-viabcp-com.northerncomcap.com/pagina/inicia-sesion,76,47,21,2,3,0,0,0,1,northerncomcap.com,-1,86,0,0,0,0,1
http://mail.puntopet.com.ru/,28,20,1,3,0,0,0,0,2,com.ru,-1,-1,-1,-1,-1,-1,1
http://courgeon-immobilier.fr/dev/tpgcyberstore/91a99aec99b565002669f2cc6329c5b9/,81,22,52,1,1,0,0,0,0,courgeon-immobilier.fr,-1,29,4,0,0,0,1
http://twitter.com/home?status=%E3%83%8C%E3%81%91%E3%82%8B%EF%BC%81%E3%80%90OL%E3%83%BB%E3%81%8A%E5%A7%89%E3%81%95%E3%82%93%E3%83%BB%E7%97%B4%E5%A5%B3%E3%80%91+http%3A%2F%2Fero-video.net%2Ft%2FSKoyQMto6gHe63MF+%E3%83%91%E3%82%A4%E3%83%91%E3%83%B3%E3%82%BD%E3%83%BC%E3%83%97%E5%AC%A2+%23ero+%23douga+%23agesage,309,11,5,2,1,0,1,0,0,twitter.com,-1,61,0,0,0,0,0
http://thenextweb.com/dd/2015/05/04/pinterest-launches-developer-platform-to-make-pins-interactive/gtm.start,108,14,87,2,7,0,0,0,0,thenextweb.com,-1,-1,0,0,0,0,0
http://pikabu.ru/story/za_chto_video_kak_amerikantsyi_probuyut_russkie_kholodets_seledku_pod_shuboy_i_salo__3333432,115,9,99,1,0,0,0,0,0,pikabu.ru,-1,10,9,8,0,0,0
http://saipardabazar.com/resources/assets/js/components/dropbox/dropbox/main.html,81,17,57,2,0,0,0,0,0,saipardabazar.com,-1,-1,-1,-1,-1,-1,1
http://golosavk.vipshop.ru,26,19,0,2,0,0,0,0,1,vipshop.ru,-1,-1,0,0,0,0,1
http://kakaku.com/bicycle/bike-light/ranking_6462/pricedown/div-gpt-ad-k/header_text,84,10,67,1,4,0,0,0,0,kakaku.com,-1,375,2,0,3,0,0
http://mne.edu.vn/wp-includes/Netflix/LoginID/index.php,55,10,38,3,1,0,0,0,0,mne.edu.vn,-1,54,0,0,0,0,1
